question,option 1,option 2,option 3,option 4,answer,explanation,category,option 5
What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP Release 18],To configure the MFAF to map data or analytics received by the MFAF to out-bound notification endpoints,To configure the MFAF to stop mapping data or analytics received by the MFAF to out-bound notification endpoints,To supply data or analytics from the MFAF to notification endpoints,To fetch data or analytics from the MFAF based on fetch instructions,option 2: To configure the MFAF to stop mapping data or analytics received by the MFAF to out-bound notification endpoints,The Nmfaf_3daDataManagement_Deconfigure service operation is used to stop mapping data or analytics received by the MFAF to one or more out-bound notification endpoints.,Standards specifications,
How does a supporting UE attach to the same core network operator from which it detached in a shared network? [3GPP Release 17],It requests the core network node to remember its previous selection.,It uses information stored in the UE when it was detached.,It relies on the SIM/USIM card for information.,It performs a fresh attach procedure.,option 2: It uses information stored in the UE when it was detached.,A supporting UE in a shared network attaches to the same core network operator it detached from by using information stored in the UE when it was detached.,Standards specifications,
When can the setting of the Privacy exception list be changed? [3GPP Release 17],Never,Only during emergency services,Anytime,Only with operator permission,option 3: Anytime,The setting of the Privacy exception list can be changed anytime.,Standards specifications,
What does the NEF notify to the AF after determining the suitable DNAI(s)? [3GPP Release 18],AF Identifier,EAS address information,DNN,DNAI(s) or the updated DNAI information,option 4: DNAI(s) or the updated DNAI information,"After determining the suitable DNAI(s), NEF notifies the DNAI(s) or the updated DNAI information to AF.",Standards specifications,
"In online charging, how are chargeable events transformed into charging events? [3GPP Release 18]",By the CTF,By the OCF,By the CGF,By the CHF,option 2: By the OCF,The CTF transforms each chargeable event into a charging event and forwards these charging events to the OCF in real-time.,Standards specifications,
What is the purpose of the PSFCH channel in NR V2X sidelink? [3GPP Release 16],To transmit Uplink and Downlink V2X messages,To transmit HARQ feedback for unicast and groupcast,To transmit sidelink synchronization signals,To transmit physical layer structure information,option 2: To transmit HARQ feedback for unicast and groupcast,The PSFCH channel in NR V2X sidelink is used to transmit sidelink HARQ feedback for unicast and groupcast services. It provides feedback on the success or failure of the whole transport block and triggers for channel state information (CSI) feedback.,Standards overview,To transmit resource allocation configurations
Which feature proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery? [3GPP Release 15],Unlicensed Spectrum Offloading System,Enhancements to LTE operation in unlicensed spectrum,Voice services over WLAN,WLAN Offloading System,option 4: WLAN Offloading System,The feature that proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery is the WLAN Offloading System.,Standards overview,
When can there be two N3 tunnel terminations at the RAN for a PDU Session? [3GPP Release 18],When there are multiple PDU Session Ids for the PDU Session,When the QoS Flows of the PDU Session are split across the two RATs,When the PDU Session belongs to a specific Network Slice,When the Master RAN node is congested,option 2: When the QoS Flows of the PDU Session are split across the two RATs,"If the DL User Plane traffic of some QoS Flows of a PDU Session are directed to the Secondary RAN Node while the remaining QoS Flows are directed to the Master RAN Node, there will be two N3 tunnel terminations at the RAN for such PDU Session.",Standards specifications,When the Secondary RAN node is congested
Which NGAP procedure is used for inter-system load balancing? [3GPP Release 17],eNB Configuration Transfer,Downlink RAN Configuration Transfer,Uplink RAN Configuration Transfer,MME Configuration Transfer,option 3: Uplink RAN Configuration Transfer,The NGAP procedure used for inter-system load balancing is Uplink RAN Configuration Transfer.,Standards overview,
What is the purpose of the Validity Period for predictions? [3GPP Release 18],To indicate the area of interest,To provide the Target of Analytics Reporting,To determine the Reporting Threshold,To define the time window,option 4: To define the time window,The Validity Period for predictions is used to define the time window for which the predictions are valid.,Standards specifications,To specify the maximum number of objects
What is the purpose of the MCImp-MC_ARCH work item? [3GPP Release 14],To specify a common functional architecture for MCVideo,To specify a common functional architecture for MCData,To specify a common functional architecture for all mission critical services,To specify a common functional architecture for MCPTT only,option 3: To specify a common functional architecture for all mission critical services,The main objective of the MCImp-MC_ARCH work item is to specify a common functional architecture for all mission critical services.,Standards overview,
What should the UE consider if it cannot detect any cell meeting the S criterion on a frequency for sidelink operation? [3GPP Release 17],Out-of-coverage for sidelink operation on that frequency,Out-of-coverage for V2X sidelink communication on that frequency,Out-of-coverage for NR sidelink communication on that frequency,In-coverage for NR sidelink communication on that frequency,option 1: Out-of-coverage for sidelink operation on that frequency,"If the UE cannot detect any cell on a frequency meeting the S criterion, it shall consider itself to be out-of-coverage for sidelink operation on that frequency.",Standards specifications,In-coverage for sidelink operation on that frequency
What is the purpose of the Member UE selection assistance functionality hosted by NEF? [3GPP Release 18],To provide filtering criteria for AF's inputs,To collect corresponding data from relevant 5GC NFs,To select member UEs for AF's application operations,To provide QoS for the updated list of UEs,option 3: To select member UEs for AF's application operations,The Member UE selection assistance functionality hosted by NEF is used to assist the AF in selecting member UEs that can be used in application operations such as AI/ML based applications.,Standards specifications,To assist the AI/ML application server in scheduling UEs
When does the AMF enable or disable the 5G access stratum time distribution for a UE? [3GPP Release 18],When UE is in CM-REJECTED state,When UE is in CM-IDLE state,When UE is in CM-REGISTERED state,When UE is in CM-DISCONNECTED state,option 5: When UE is in CM-CONNECTED state,"If the AMF receives start and stop times, it sends a message to the NG-RAN to enable or disable the 5G access stratum time distribution according to the expiry of start and stop times when the UE is in CM-CONNECTED state.",Standards specifications,When UE is in CM-CONNECTED state
